Key	Manufacturer	MPN	Mouser SKU	Description	Package	Octopart URL	Mouser URL
06035A180JAT2A	AVX	06035A180JAT2A	581-06035A180J	Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 18pF C0G 0603 5%	0603	https://octopart.com/06035a180jat2a-avx-39513095	https://octopart.com/click/track?ai=8237&sig=0129ae4&sid=2401&ppid=39513095&vpid=114822279&ct=offers
AC0603FR-131ML	Yageo	AC0603FR-131ML	603-AC0603FR-131ML	Thick Film Resistors - SMD 1M ohm 1% 1/10W AEC-Q200	0603	https://octopart.com/ac0603fr-131ml-yageo-75168898	https://octopart.com/click/track?ai=8237&sig=0d915c6&sid=2401&ppid=75168898&vpid=474031967&ct=offers
AF0603FR-073KL	Yageo	AF0603FR-073KL	603-AF0603FR-073KL	Thick Film Resistors - SMD 0603 1% 3000ohm 100 PPM -55C to 155C	0603	https://octopart.com/af0603fr-073kl-yageo-30039485	https://octopart.com/click/track?ai=8237&sig=0ba2737&sid=2401&ppid=30039485&vpid=448426928&ct=offers
BLM18KG601SN1D	Murata	BLM18KG601SN1D	81-BLM18KG601SN1D	Ferrite Beads 0603 600ohms 1.3A	0603	https://octopart.com/blm18kg601sn1d-murata-12276433	https://octopart.com/click/track?ai=8237&sig=0ea9559&sid=2401&ppid=12276433&vpid=37789808&ct=offers
C0603C471J5GACTU	KEMET	C0603C471J5GACTU	80-C0603C471J5G	Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 470pF 0603 C0G 5%	0603	https://octopart.com/c0603c471j5gactu-kemet-95298	https://octopart.com/click/track?ai=8237&sig=06c9140&sid=2401&ppid=95298&vpid=37790732&ct=offers
CC0603KRX7R9BB104	Yageo	CC0603KRX7R9BB104	603-CC603KRX7R9BB104	Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 50V X7R 10%	0603	https://octopart.com/cc0603krx7r9bb104-yageo-42244635	https://octopart.com/click/track?ai=8237&sig=0890135&sid=2401&ppid=42244635&vpid=115540542&ct=offers
CRCW06030000Z0EBC	Vishay	CRCW06030000Z0EBC	71-CRCW06030000Z0EBC	Thick Film Resistors - SMD 1/10Watt 0ohms Commercial Use	0603	https://octopart.com/crcw06030000z0ebc-vishay-87883024	https://octopart.com/click/track?ai=8237&sig=0bb93c9&sid=2401&ppid=87883024&vpid=458952853&ct=offers
CRCW060310K0JNEBC	Vishay	CRCW060310K0JNEBC	71-CRCW060310K0JNEBC	Thick Film Resistors - SMD 1/10Watt 10Kohms 5% Commercial Use	0603	https://octopart.com/crcw060310k0jnebc-vishay-87883041	https://octopart.com/click/track?ai=8237&sig=0ae9b79&sid=2401&ppid=87883041&vpid=458952869&ct=offers
CRCW06031K00FKEAC	Vishay	CRCW06031K00FKEAC	71-CRCW06031K00FKEAC	Thick Film Resistors - SMD 1/10Watt 1Kohms 1% Commercial Use	0603	https://octopart.com/crcw06031k00fkeac-vishay-12144082	https://octopart.com/click/track?ai=8237&sig=0b5fb26&sid=2401&ppid=12144082&vpid=454196526&ct=offers
CRCW060322R0FKEAC	Vishay	CRCW060322R0FKEAC	71-CRCW060322R0FKEAC	Thick Film Resistors - SMD 1/10Watt 22ohms 1% Commercial Use	0603	https://octopart.com/crcw060322r0fkeac-vishay-12144087	https://octopart.com/click/track?ai=8237&sig=0960bf1&sid=2401&ppid=12144087&vpid=458953204&ct=offers
